Imagemoriginal;Imagemteste;shift
0.png;0_10.jp2;1039
0.png;0_20.jp2;1039
0.png;0_30.jp2;1039
0.png;0_50.jp2;1039
1.png;1_10.jp2;1043
1.png;1_20.jp2;1043
1.png;1_30.jp2;1043
1.png;1_50.jp2;1043
2.png;2_10.jp2;1034
2.png;2_20.jp2;1034
2.png;2_30.jp2;1034
2.png;2_50.jp2;1034
3.png;3_10.jp2;1050
3.png;3_20.jp2;1050
3.png;3_30.jp2;1050
3.png;3_50.jp2;1050
4.png;4_10.jp2;1020
4.png;4_20.jp2;1020
4.png;4_30.jp2;1020
4.png;4_50.jp2;1020
5.png;5_10.jp2;1033
5.png;5_20.jp2;1033
5.png;5_30.jp2;1033
5.png;5_50.jp2;1033
6.png;6_10.jp2;1060
6.png;6_20.jp2;1060
6.png;6_30.jp2;1060
6.png;6_50.jp2;1060
7.png;7_10.jp2;1045
7.png;7_20.jp2;1045
7.png;7_30.jp2;1045
7.png;7_50.jp2;1045
8.png;8_10.jp2;1060
8.png;8_20.jp2;1060
8.png;8_30.jp2;1060
8.png;8_50.jp2;1060
9.png;9_10.jp2;1051
9.png;9_20.jp2;1051
9.png;9_30.jp2;1051
9.png;9_50.jp2;1051
