Imagemteste,Imagemoriginal,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,rating_2.response,rating_2.rt,key_resp_3.keys,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,date,frameRate,expName,session,participant,
,,,,,,,,,,space,1.31967078149,,,,,,,,,,,,,,,,,,,,,,,,,2017_mar_16_1427,59.9131939127,aqv,001,,
,,,,,,,,,,,,0.176388888889,-0.377777777778,0,0,0,,,,,,,,,,,,,,,,,,,,2017_mar_16_1427,59.9131939127,aqv,001,,
Test_9_70_jpg_soft.png,Orig_9_soft.png,0,0,0,2,,,,,,,,,,,,0.0791666666667,-0.913333333333,1,0,0,Diagnóstico diferente,1.555,,,,,,,,,,,,,2017_mar_16_1427,59.9131939127,aqv,001,,
Test_3_50_jpg_bone.png,Orig_3_bone.png,0,1,1,1,,,,,,,,,,,,0.116666666667,-0.9,1,0,0,Diagnóstico diferente,0.969,,,,,,,,,,,,,2017_mar_16_1427,59.9131939127,aqv,001,,
Test_0_10_jp2_bone.png,Orig_0_bone.png,0,2,2,0,,,,,,,,,,,,0.00694444444444,-0.951111111111,1,0,0,Mesmo diagnóstico,2.837,,,,,,,,,,,,,2017_mar_16_1427,59.9131939127,aqv,001,,
,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,2017_mar_16_1427,59.9131939127,aqv,001,,
,,,,,,,,,,,,,,,,,,,,,,,,,0.0722222222222,-0.657777777778,1,0,0,,,,,,,2017_mar_16_1427,59.9131939127,aqv,001,,
Test_6_70_jpg_bone.png,Orig_6_bone.png,,,,,0,0,0,55,,,,,,,,,,,,,,,,,,,,,"[0.26111111111111113, 0.26111111111111113, 0.26111111111111113, 0.26111111111111113, 0.26111111111111113, 0.26111111111111113, 0.26111111111111113, 0.10277777777777777, 0.10277777777777777]","[-0.76444444444444448, -0.76444444444444448, -0.76444444444444448, -0.76444444444444448, -0.76444444444444448, -0.76444444444444448, -0.76444444444444448, -0.93333333333333335, -0.93333333333333335]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.9313949841016438, 0.9476930547098164, 0.9643519892997574, 0.9810145295050461, 0.9977903467661235, 1.0144588963594288, 1.0312190892000217, 1.3655116215813905, 1.3819049410521984]",2017_mar_16_1427,59.9131939127,aqv,001,,
Orig_8_soft.png,Orig_8_soft.png,,,,,0,1,1,178,,,,,,,,,,,,,,,,,,,,,"[-0.26944444444444443, -0.26944444444444443, -0.26944444444444443, -0.26944444444444443, -0.26944444444444443, -0.26944444444444443, -0.26944444444444443, -0.26944444444444443, -0.26944444444444443, -0.088888888888888892, -0.087499999999999994]","[-0.76666666666666672, -0.76666666666666672, -0.76666666666666672, -0.76666666666666672, -0.76666666666666672, -0.76666666666666672, -0.76666666666666672, -0.76666666666666672, -0.76666666666666672, -0.92222222222222228, -0.9244444444444444]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.6336780120036565, 0.6496969463769346, 0.6663862284040079, 0.6830628906900529, 0.6998002478212584, 0.7165123655286152, 0.733156276633963, 0.7498981408134568, 0.7666006434883457, 1.1344808666908648, 1.150803876313148]",2017_mar_16_1427,59.9131939127,aqv,001,,
Test_8_70_jpg_bone.png,Orig_8_bone.png,,,,,0,2,2,71,,,,,,,,,,,,,,,,,,,,,"[0.2361111111111111, 0.2361111111111111, 0.2361111111111111, 0.2361111111111111, 0.2361111111111111, 0.2361111111111111, 0.2361111111111111, 0.070833333333333331, 0.070833333333333331]","[-0.7533333333333333, -0.7533333333333333, -0.7533333333333333, -0.7533333333333333, -0.7533333333333333, -0.7533333333333333, -0.7533333333333333, -0.9244444444444444, -0.9244444444444444]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.6168895750306547, 0.6331167348544113, 0.649855594325345, 0.6665830359852407, 0.683228148962371, 0.6999048112484161, 0.716601605003234, 1.1176608804380521, 1.1341097867989447]",2017_mar_16_1427,59.9131939127,aqv,001,,
Orig_3_bone.png,Orig_3_bone.png,,,,,0,3,3,163,,,,,,,,,,,,,,,,,,,,,"[0.23749999999999999, 0.23749999999999999, 0.23749999999999999, 0.23749999999999999, 0.23749999999999999, 0.23749999999999999, 0.23749999999999999, 0.2388888888888889, 0.28472222222222221, 0.28472222222222221, 0.28472222222222221, 0.28472222222222221, 0.28472222222222221, 0.28472222222222221, 0.28472222222222221, 0.28472222222222221, 0.11944444444444445, 0.11944444444444445]","[-0.78666666666666663, -0.78666666666666663, -0.78666666666666663, -0.78666666666666663, -0.78666666666666663, -0.78666666666666663, -0.78666666666666663, -0.78666666666666663, -0.73777777777777775, -0.73777777777777775, -0.73777777777777775, -0.73777777777777775, -0.73777777777777775, -0.73777777777777775, -0.73777777777777775, -0.73777777777777775, -0.89777777777777779, -0.89777777777777779]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.5504037710197736, 0.566803099878598, 0.5834965884569101, 0.6002057014557067, 0.6169018942746334, 0.6336022936739028, 0.6503258291922975, 0.6670421534799971, 1.3186047154595144, 1.3349232180044055, 1.3516230164386798, 1.3683125989336986, 1.3850337307085283, 1.4017161019146442, 1.4184219097660389, 1.4351613701728638, 1.786080386431422, 1.8024806166940834]",2017_mar_16_1427,59.9131939127,aqv,001,,
Test_7_20_jp2_soft.png,Orig_7_soft.png,,,,,0,4,4,137,,,,,,,,,,,,,,,,,,,,,"[0.28749999999999998, 0.28749999999999998, 0.28749999999999998, 0.28749999999999998, 0.28749999999999998, 0.28749999999999998, 0.28749999999999998, 0.28749999999999998, 0.28749999999999998, -0.0055555555555555558, -0.0055555555555555558]","[-0.73999999999999999, -0.73999999999999999, -0.73999999999999999, -0.73999999999999999, -0.73999999999999999, -0.73999999999999999, -0.73999999999999999, -0.73999999999999999, -0.73999999999999999, -0.94222222222222218, -0.94222222222222218]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0014855215558782, 1.0176787282980513, 1.0343842356815003, 1.0510705130000133, 1.0678673631045967, 1.084489940869389, 1.1012324059847742, 1.1178985518345144, 1.1346127728465945, 9.066545296984259, 9.082770353503292]",2017_mar_16_1427,59.9131939127,aqv,001,,
Test_6_20_jp2_bone.png,Orig_6_bone.png,,,,,0,5,5,49,,,,,,,,,,,,,,,,,,,,,"[0.27083333333333331, 0.27083333333333331, 0.27083333333333331, 0.27083333333333331, 0.27083333333333331, 0.27083333333333331, 0.27083333333333331, 0.27083333333333331, 0.093055555555555558, 0.09166666666666666]","[-0.76666666666666672, -0.76666666666666672, -0.76666666666666672, -0.76666666666666672, -0.76666666666666672, -0.76666666666666672, -0.76666666666666672, -0.76666666666666672, -0.93333333333333335, -0.93555555555555558]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[39.30654026111006, 39.322925768385176, 39.33953752924572, 39.35629892395809, 39.37303387731663, 39.38967358187074, 39.406376985949464, 39.423009779682616, 39.9753455700411, 39.99089907706366]",2017_mar_16_1427,59.9131939127,aqv,001,,
Test_5_10_jp2_soft.png,Orig_5_soft.png,,,,,0,6,6,120,,,,,,,,,,,,,,,,,,,,,"[0.29722222222222222, 0.29722222222222222, 0.29722222222222222, 0.29722222222222222, 0.29722222222222222, -0.0069444444444444441, -0.0069444444444444441]","[-0.69555555555555559, -0.69555555555555559, -0.69555555555555559, -0.69555555555555559, -0.69555555555555559, -0.97333333333333338, -0.97333333333333338]","[1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[2.0529824008990545, 2.069498912896961, 2.0861752747150604, 2.102901214006124, 2.119515378610231, 2.6543238773592748, 2.6705879949149676]",2017_mar_16_1427,59.9131939127,aqv,001,,
